"ingredient_id";"recipe_id";"ingredient_name";"quantity";"unit";"type";"price"
1;1;"Flour";"120";"grams";"Grain";0.25
2;1;"Eggs";"2";"whole";"Protein";0.35
3;1;"Sugar";"100";"grams";"Sweetener";0.2
4;1;"Butter";"50";"grams";"Dairy";0.4
5;1;"Milk";"240";"grams";"Dairy";0.5
6;2;"Chicken";"250";"grams";"Meat";2.5
7;2;"Lettuce";"1";"head";"Ingredient";1.2
8;2;"Tomatoes";"2";"medium";"Ingredient";0.6
9;2;"Cucumber";"1";"medium";"Ingredient";0.75
10;2;"Olive Oil";"2";"grams";"Ingredient";0.3
11;3;"Apples";"2";"medium";"Ingredient";0.75
12;3;"Bananas";"2";"medium";"Ingredient";0.5
13;3;"Oranges";"1";"medium";"Ingredient";0.6
14;3;"Grapes";"1";"grams";"Ingredient";1.5
15;3;"Honey";"21.25";"grams";"Sweetener";0.25
16;4;"Pasta";"250";"grams";"Ingredient";0.8
17;4;"Cream";"200";"ml";"Ingredient";1.2
18;4;"Parmesan Cheese";"100";"grams";"Ingredient";1.5
19;4;"Butter";"50";"grams";"Dairy";0.4
20;4;"Garlic";"2";"cloves";"Ingredient";0.1
21;5;"Eggs";"3";"whole";"Protein";0.35
22;5;"Bell Peppers";"0.5";"medium";"Ingredient";0.5
23;5;"Onions";"0.5";"medium";"Ingredient";0.25
24;5;"Cheese";"50";"grams";"Dairy";0.75
25;5;"Butter";"20";"grams";"Dairy";0.2
26;6;"Tortilla";"2";"pieces";"Ingredient";0.5
27;6;"Bell Peppers";"1";"medium";"Ingredient";0.75
28;6;"Cucumber";"0.5";"medium";"Ingredient";0.4
29;6;"Hummus";"2";"grams";"Ingredient";0.6
30;6;"Spinach";"1";"grams";"Ingredient";0.8
31;7;"Oats";"90";"grams";"Grain";0.4
32;7;"Honey";"63.75";"grams";"Sweetener";0.75
33;7;"Nuts";"0.5";"grams";"Ingredient";1.5
34;7;"Dried Fruits";"0.25";"grams";"Ingredient";1.0
35;7;"Coconut Oil";"2";"grams";"Ingredient";0.5
36;8;"Beef Steak";"300";"grams";"Ingredient";4.5
37;8;"Potatoes";"4";"large";"Ingredient";1.2
38;8;"Butter";"50";"grams";"Dairy";0.4
39;8;"Milk";"60";"grams";"Dairy";0.3
40;8;"Garlic";"2";"cloves";"Ingredient";0.1
41;9;"Bread Slices";"2";"pieces";"Ingredient";0.3
42;9;"Avocado";"1";"large";"Ingredient";1.5
43;9;"Lemon Juice";"1";"tsp";"Ingredient";0.1
44;9;"Cherry Tomatoes";"5";"pieces";"Ingredient";0.5
45;9;"Red Pepper Flakes";"0.5";"tsp";"Ingredient";0.05
46;10;"Chicken";"500";"grams";"Meat";4.0
47;10;"Onions";"2";"medium";"Ingredient";0.5
48;10;"Tomatoes";"3";"medium";"Ingredient";0.9
49;10;"Spices";"2";"grams";"Ingredient";0.6
50;10;"Cream";"100";"ml";"Ingredient";0.75
51;11;"Banana";"1";"medium";"Fruit";0.25
52;11;"Berries";"1";"grams";"Fruit";2.0
53;11;"Yogurt";"1";"grams";"Dairy";1.0
54;11;"Honey";"21.25";"grams";"Sweetener";0.25
55;11;"Almond Milk";"1";"grams";"Ingredient";0.75
56;12;"Carrots";"2";"medium";"Ingredient";0.5
57;12;"Broccoli";"1";"medium head";"Ingredient";1.2
58;12;"Soy Sauce";"2";"grams";"Ingredient";0.25
59;12;"Ginger";"1";"tsp";"Ingredient";0.15
60;12;"Garlic";"2";"cloves";"Ingredient";0.1
61;13;"Fish Fillet";"250";"grams";"Ingredient";3.5
62;13;"Rice";"195";"grams";"Grain";0.5
63;13;"Lemon";"1";"medium";"Ingredient";0.4
64;13;"Herbs";"1";"grams";"Ingredient";0.3
65;13;"Olive Oil";"1";"grams";"Ingredient";0.15
66;14;"Tortilla Chips";"200";"grams";"Ingredient";1.5
67;14;"Tomatoes";"3";"medium";"Ingredient";0.9
68;14;"Onions";"1";"small";"Ingredient";0.25
69;14;"Cilantro";"2";"grams";"Ingredient";0.2
70;14;"Lime Juice";"1";"grams";"Ingredient";0.15
71;15;"Basmati Rice";"2";"cups";"Ingredient";1.5
72;15;"Chicken";"500";"grams";"Meat";4.0
73;15;"Yogurt";"1";"grams";"Dairy";1.0
74;15;"Spices";"2";"grams";"Ingredient";0.6
75;15;"Fried Onions";"0.5";"grams";"Ingredient";0.75
76;16;"Flour";"2";"cups";"Grain";0.5
77;16;"Eggs";"2";"whole";"Protein";0.7
