"id";"meal_date";"meal_image";"meal_name";"meal_type"
1;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pancakes";"Breakfast"
2;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Chicken Salad";"Lunch"
3;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Fruit Bowl";"Snack"
4;"2025-04-01";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pasta Alfredo";"Dinner"
5;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Omelette";"Breakfast"
6;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Veggie Wrap";"Lunch"
7;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Granola Bar";"Snack"
8;"2025-04-02";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Steak with Mashed Potatoes";"Dinner"
9;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Toast with Avocado";"Breakfast"
10;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Curry";"Lunch"
11;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Smoothie";"Snack"
12;"2025-04-03";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Vegetable Stir-Fry";"Dinner"
13;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Toast with Avocado";"Breakfast"
14;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Fish with Rice";"Lunch"
15;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chips and Salsa";"Snack"
16;"2025-04-04";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Biryani";"Dinner"
17;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Waffles";"Breakfast"
18;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Pasta Primavera";"Lunch"
19;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Yogurt Parfait";"Snack"
20;"2025-04-05";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Lamb Curry";"Dinner"
21;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Granola with Milk";"Breakfast"
22;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Burger with Fries";"Lunch"
23;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Fruit Smoothie";"Snack"
24;"2025-04-06";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Beef Stew";"Dinner"
25;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Poached Eggs";"Breakfast"
26;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Chicken Salad Wrap";"Lunch"
27;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Nuts and Raisins";"Snack"
28;"2025-04-07";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Sushi Rolls";"Dinner"
29;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"French Toast";"Breakfast"
30;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Veggie Sandwich";"Lunch"
31;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Apple Slices with Peanut Butter";"Snack"
32;"2025-04-08";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Spaghetti Bolognese";"Dinner"
33;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Blueberry Muffins";"Breakfast"
34;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Caesar Salad";"Lunch"
35;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Cheese Crackers";"Snack"
36;"2025-04-09";"https://cdn.usegalileo.ai/sdxl10/55592608-5a64-4ee3-8946-6dda8caa409f.png";"Grilled Salmon";"Dinner"
